  time[s]                    u[ft/s]                   v[ft/s]                  w[ft/s]                    p[rad/s]                  q[rad/s]                  r[rad/s]                 xf[ft]                     yf[ft]                    zf[ft]                    e0                        ex                        ey                        ez                        aileron[deg]              elevator[deg]             rudder[deg]               throttle
 0.0000000000000E+00  2.1000000000000E+02  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00 -5.0000000000000E+00  9.9904822158186E-01  0.0000000000000E+00  4.3619387365336E-02  0.0000000000000E+00
 5.0000000000000E-03  2.0985170442430E+02  8.1775126301210E-03  1.5988289019693E-01  1.9773158006443E+01 -1.3402222635032E-04  6.7902672015176E-06  1.0457231112903E+00  3.6677505436629E-07 -5.0910868062067E+00  9.9872223315066E-01  2.5519792671993E-02  4.3605042312590E-02 -1.1142160756239E-03
 1.0000000000000E-02  2.0970356401257E+02  6.0933730698903E-02  3.1385006522528E-01  3.5948051971108E+01 -5.2518370495047E-04  1.0101185921320E-04  2.0907406872022E+00  7.3496108783942E-07 -5.1813083602705E+00  9.9445990393350E-01  9.5639565232945E-02  4.3418166065829E-02 -4.1756300252540E-03
 1.5000000000000E-02  2.0955554420750E+02  1.8886905918167E-01  4.3972244606512E-01  4.9178858428478E+01 -1.1030823629285E-03  4.6899681204380E-04  3.1350675879037E+00  1.2667587784654E-06 -5.2706671570869E+00  9.7856594287834E-01  2.0126178652263E-01  4.2722160178121E-02 -8.7866804912530E-03
 2.0000000000000E-02  2.0940761206221E+02  3.9993107525934E-01  4.9501257084091E-01  6.0000478652073E+01 -1.6587409581295E-03  1.3234076876431E-03  4.1787117032251E+00  2.1032124673903E-06 -5.3591650528748E+00  9.4193424791168E-01  3.3295321184773E-01  4.1119018466965E-02 -1.4534705076174E-02
 2.5000000000000E-02  2.0925973641305E+02  6.6822184972299E-01  4.2677117551475E-01  6.8850348959793E+01 -1.8015241652922E-03  2.7656182457623E-03  5.2216769402355E+00  3.3372479027834E-06 -5.4468035854543E+00  8.7617010278715E-01  4.8002552655417E-01  3.8242226677648E-02 -2.0951776465860E-02
 3.0000000000000E-02  2.0911188805195E+02  9.2785960677792E-01  1.9331515685377E-01  7.6086251102524E+01 -1.0210204185604E-03  4.6183638821261E-03  6.2639651678365E+00  5.0047303828638E-06 -5.5335841547354E+00  7.7514794075737E-01  6.3027382591827E-01  3.3825070169526E-02 -2.7503434875999E-02
 3.5000000000000E-02  2.0896403988676E+02  1.0809634225353E+00 -2.0825366640255E-01  8.2000858510483E+01  1.1133617318337E-03  6.3071231345362E-03  7.3055773025761E+00  7.0785435380287E-06 -5.6195081066395E+00  6.3613408111727E-01  7.7034671729789E-01  2.7749906637333E-02 -3.3605188156981E-02
 4.0000000000000E-02  2.0881616708085E+02  1.0239916507697E+00 -7.2002451472237E-01  8.6833618410975E+01  4.6535785386035E-03  6.8961273406282E-03  8.3465138439170E+00  9.4658959852708E-06 -5.7045767636510E+00  4.6047024118914E-01  8.8660554333094E-01  2.0078113849730E-02 -3.8660533600891E-02
 4.5000000000000E-02  2.0866824719346E+02  6.8798356349900E-01 -1.2197590206029E+00  9.0780459202038E+01  8.9972633920392E-03  5.3511090101705E-03  9.3867751019102E+00  1.2010413757959E-05 -5.7887914299850E+00  2.5378205344568E-01  9.6628098469452E-01  1.1059056945336E-02 -4.2112055591839E-02
 5.0000000000000E-02  2.0852026031271E+02  7.9252970873556E-02 -1.5443986233564E+00  9.4001722299331E+01  1.2805869380606E-02  1.0030386546945E-03  1.0426361271935E+01  1.4498771669980E-05 -5.8721533867339E+00  2.5700802818662E-02  9.9872231910829E-01  1.1175059683438E-03 -4.3496542734408E-02
 5.5000000000000E-02  2.0837218910173E+02 -6.9760924954577E-01 -1.5389124292722E+00  9.6628644163130E+01  1.4255797851921E-02 -5.9386004026702E-03  1.1465272443506E+01  1.6670367955909E-05 -5.9546638846169E+00 -2.1086693995619E-01  9.7654749163991E-01 -9.1789789785080E-03 -4.2495606246181E-02
 6.0000000000000E-02  2.0822401886785E+02 -1.4495830488947E+00 -1.1166999450600E+00  9.8768654284856E+01  1.1640051427175E-02 -1.4063860804967E-02  1.2503508587476E+01  1.8228429741795E-05 -6.0363241376446E+00 -4.4083920541406E-01  8.9653461518776E-01 -1.9169019557996E-02 -3.8974702426316E-02
 6.5000000000000E-02  2.0807573773680E+02 -1.9423246808647E+00 -3.0928436270757E-01  1.0050970605967E+02  4.1651360477373E-03 -2.0864562692445E-02  1.3541069542478E+01  1.8851117570382E-05 -6.1171353186939E+00 -6.4830803149558E-01  7.6014110291650E-01 -2.8157377207050E-02 -3.3005485362766E-02
 7.0000000000000E-02  2.0792733656574E+02 -1.9740613450141E+00  7.1722654467630E-01  1.0192381759402E+02 -7.3596573962836E-03 -2.3364784501164E-02  1.4577955007896E+01  1.8201415441263E-05 -6.1970985571440E+00 -8.1799689866114E-01  5.7358854721715E-01 -3.5479543622919E-02 -2.4868740747943E-02
 7.5000000000000E-02  2.0777880886765E+02 -1.4528179413558E+00  1.6920938742695E+00  1.0306996697610E+02 -2.0285634923567E-02 -1.9168120615882E-02  1.5614164543908E+01  1.5935441606694E-05 -6.2762149383916E+00 -9.3668018659234E-01  3.4750342682542E-01 -4.0564394863662E-02 -1.5037495113154E-02
