   0.0000000000000000E+000,   0.3454080210250947E+003,   0.2229583488512790E-017,   0.5650919548143913E+002,  -0.5541135368282336E-015,  -0.1140417520093218E-005,  -0.5358282598298859E-014,   0.1294999648428970E-002,  -0.1335985889895791E-025,  -0.1000000000000001E+005,   0.9967146274133970E+000,  -0.6082050998649948E-021,   0.8099352752024860E-001,  -0.3265742825474343E-020
   0.1511002000042936E+000,   0.3450642890145873E+003,   0.1447081766975149E-003,   0.5512912817830078E+002,  -0.1233210034571962E-005,  -0.4470695520539426E-001,  -0.8515442406949879E-005,   0.5284364321384660E+002,  -0.6767460380140977E-007,  -0.1000001190158197E+005,   0.9968517912345159E+000,  -0.4603930561822089E-007,   0.7928749152602306E-001,  -0.2142053067555943E-006
   0.1823661999951582E+000,   0.3450368902608070E+003,   0.2516303481287014E-003,   0.5459848276884158E+002,  -0.1934066792086771E-005,  -0.5352931697606735E-001,  -0.1226649094827832E-004,   0.6376751401284029E+002,  -0.1564913990275886E-006,  -0.1000001512694167E+005,   0.9969123932089445E+000,  -0.8342447173484348E-007,   0.7852184578999892E-001,  -0.3733339074435644E-006
   0.2448583000077633E+000,   0.3450232250221549E+003,   0.5953135185933351E-003,   0.5330820283763276E+002,  -0.4047445011482728E-005,  -0.7077145624509863E-001,  -0.2160096528290079E-004,   0.8559117102816400E+002,  -0.5906251946687735E-006,  -0.1000001868517727E+005,   0.9970631000825758E+000,  -0.2155958862491441E-006,   0.7658442696064033E-001,  -0.8873800791555053E-006
   0.2604896999982884E+000,   0.3450279533561618E+003,   0.7125406252826858E-003,   0.5293946925462097E+002,  -0.4752962007992458E-005,  -0.7500694661346963E-001,  -0.2429810884670385E-004,   0.9104795794173634E+002,  -0.7823171820338285E-006,  -0.1000001857307767E+005,   0.9971065683959319E+000,  -0.2640688949897720E-006,   0.7601638810472679E-001,  -0.1063376919915031E-005
   0.3385984000051394E+000,   0.3450965282554562E+003,   0.1517881677317319E-002,   0.5083621524435243E+002,  -0.9598593133865669E-005,  -0.9574155102749576E-001,  -0.3976488309591507E-004,   0.1183033232494857E+003,  -0.2593078831192733E-005,  -0.1000000824500372E+005,   0.9973546469187559E+000,  -0.6335408684475001E-006,   0.7268912067131841E-001,  -0.2278791427797031E-005
   0.3542324000009103E+000,   0.3451186700886490E+003,   0.1727072192615085E-002,   0.5036502521851492E+002,  -0.1087046212624383E-004,  -0.9981022860206831E-001,  -0.4323268324266278E-004,   0.1237564210812709E+003,  -0.3190366603121801E-005,  -0.1000000365485333E+005,   0.9974099141390851E+000,  -0.7385749935134617E-006,   0.7192679034809209E-001,  -0.2595959064100605E-005
   0.3854868000053102E+000,   0.3451706576414822E+003,   0.2197467883068818E-002,   0.4937499872488934E+002,  -0.1375874971575152E-004,  -0.1078674985015471E+000,  -0.5050697523881346E-004,   0.1346557283312125E+003,  -0.4707270999484543E-005,  -0.9999991270309105E+004,   0.9975253264700885E+000,  -0.9867394494437164E-006,   0.7030805813565971E-001,  -0.3310937347015245E-005
   0.4011139000067487E+000,   0.3452003326170438E+003,   0.2459706775787824E-002,   0.4885647495014026E+002,  -0.1538664434438129E-004,  -0.1118590226359502E+000,  -0.5430729783119899E-004,   0.1401043029819816E+003,  -0.5653013293292318E-005,  -0.9999983293917159E+004,   0.9975853140143308E+000,  -0.1131864778152848E-005,   0.6945171882595953E-001,  -0.3710494461232305E-005
   0.5261205999995582E+000,   0.3455137117146419E+003,   0.5260329454932300E-002,   0.4417593168331553E+002,  -0.3352996598705210E-004,  -0.1429721187516177E+000,  -0.8812012721871059E-004,   0.1836662329319279E+003,  -0.1978874968131137E-004,  -0.9999864037074742E+004,   0.9981072263100291E+000,  -0.2941957605379947E-005,   0.6149768056499608E-001,  -0.8010686538870775E-005
   0.5729845000023488E+000,   0.3456595968483971E+003,   0.6654540631510613E-002,   0.4219179057937144E+002,  -0.4302119440064648E-004,  -0.1542961404981871E+000,  -0.1021103512331860E-003,   0.1999875733318754E+003,  -0.2935955748267655E-004,  -0.9999787193263955E+004,   0.9983153752186773E+000,  -0.3998779774349600E-005,   0.5802078491882021E-001,  -0.1016884697012008E-004
   0.5885963000037009E+000,   0.3457108332725732E+003,   0.7162887798613353E-002,   0.4150467634846508E+002,  -0.4654828475273826E-004,  -0.1580311965010342E+000,  -0.1069003218833001E-003,   0.2054236599552843E+003,  -0.3324367697182566E-004,  -0.9999756843310508E+004,   0.9983853613541587E+000,  -0.4407372053603276E-005,   0.5680378591451998E-001,  -0.1095803737889063E-004
   0.6198661999951582E+000,   0.3458168023420416E+003,   0.8248352261361509E-002,   0.4009027646733398E+002,  -0.5418977104225588E-004,  -0.1654589667915324E+000,  -0.1166671697391360E-003,   0.2163104585923794E+003,  -0.4222455450188819E-004,  -0.9999688232098741E+004,   0.9985258234373179E+000,  -0.5319531583013870E-005,   0.5427872272434554E-001,  -0.1264683922328373E-004
   0.6354757999943104E+000,   0.3458711613750410E+003,   0.8824154660127663E-002,   0.3936555697745190E+002,  -0.5830116023297250E-004,  -0.1691410222014975E+000,  -0.1216217499923170E-003,   0.2217443123955615E+003,  -0.4736245770185675E-004,  -0.9999649846025806E+004,   0.9985958468192027E+000,  -0.5824715563470794E-005,   0.5297484778701281E-001,  -0.1354456241736433E-004
   0.6823703999980353E+000,   0.3460390469730368E+003,   0.1069192835838900E-001,   0.3711571562064181E+002,  -0.7189286017226766E-004,  -0.1801042843640881E+000,  -0.1367810332283432E-003,   0.2380660538215692E+003,  -0.6577284455862694E-004,  -0.9999516532333793E+004,   0.9988043913734322E+000,  -0.7560975902686896E-005,   0.4888545228285716E-001,  -0.1646450241575874E-004
